  550.000  0.000000e+00           nan          -nan           nan 
 1000.000  0.000000e+00 -1.408719e-27  4.716881e-11  7.507149e-12 
 1600.000  0.000000e+00 -4.193558e-17  2.221824e-06  3.536143e-07 
 2200.000  0.000000e+00  4.579549e-14  6.979639e-04  1.110844e-04 
 3000.000  0.000000e+00  2.534983e-13  3.736679e-02  5.947109e-03 
 3700.000  0.000000e+00  1.312631e-11  2.919884e-01  4.647140e-02 
 4900.000  0.000000e+00  0.000000e+00  2.149701e+00  3.421355e-01 
 5600.000  0.000000e+00  0.000000e+00  9.977874e-01  1.588028e-01 
 6500.000  0.000000e+00  0.000000e+00  3.231724e+00  5.143448e-01 
 7600.000  0.000000e+00  0.000000e+00  7.113328e+00  1.132121e+00 
 8500.000  0.000000e+00  0.000000e+00  1.870908e+01  2.977643e+00 
 9600.000  0.000000e+00           nan          -nan           nan 
11300.000  0.000000e+00  0.000000e+00  4.296284e+01  6.837749e+00 
13700.000  0.000000e+00  0.000000e+00  2.782701e+01  4.428806e+00 
16600.000  0.000000e+00  0.000000e+00  3.162896e+01  5.033905e+00 
21500.000  0.000000e+00  0.000000e+00  3.868536e+01  6.156966e+00 
30000.000  0.000000e+00  0.000000e+00  2.392627e+01  3.807984e+00 
70000.000  0.000000e+00  0.000000e+00  2.027748e+01  3.227261e+00 
