#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     9.101   0.000000000   9.490000000
     9.094   0.000000000   9.490000000
     9.087   0.000000000   9.490000000
     9.080   0.000000000   9.490000000
     9.073   0.000000000   9.490000000
     9.066   0.000000000   9.490000000
     9.059   0.000000000   9.490000000
     9.052   0.000000000   9.490000000
     9.045   0.000000000   9.490000000
     9.038   0.000000000   9.490000000
     9.031   0.000000000   9.490000000
     9.024   0.000000000   9.490000000
     9.017   0.000000000   9.490000000
     9.010   0.000000000   9.490000000
     9.003   0.000000000   9.490000000
     8.997   0.000000000   9.490000000
     8.990   0.000000000   9.490000000
     8.983   0.000000000   9.490000000
     8.976   0.000000000   9.490000000
     8.969   0.000000000   9.490000000
     8.962   0.000000000   9.490000000
     8.955   0.000000000   9.490000000
     8.948   0.000000000   9.490000000
     8.941   0.000000000   9.490000000
     8.934   0.000000000   9.490000000
     8.927   0.000000000   9.490000000
     8.920   0.000000000   9.490000000
     8.913   0.000000000   9.490000000
     8.906   0.000000000   9.490000000
     8.899   0.000000000   9.490000000
     8.892   0.000000000   9.490000000
     8.884   0.000000000   9.490000000
     8.877   0.000000000   9.490000000
     8.870   0.000000000   9.490000000
     8.863   0.000000000   9.490000000
     8.856   0.000000000   9.490000000
     8.849   0.000000000   9.490000000
     8.842   0.000000000   9.490000000
     8.835   0.000000000   9.490000000
     8.828   0.000000000   9.490000000
     8.821   0.000000000   9.490000000
     8.814   0.000000000   9.490000000
     8.807   0.000000000   9.490000000
     8.800   0.000000000   9.490000000
     8.793   0.000000000   9.490000000
     8.786   0.000000000   9.490000000
     8.780   0.000000000   9.490000000
     8.773   0.000000000   9.490000000
     8.766   0.000000000   9.490000000
     8.759   0.000000000   9.490000000
     8.752   0.000000000   9.490000000
     8.745   0.000000000   9.490000000
     8.738   0.000000000   9.490000000
     8.731   0.000000000   9.490000000
     8.724   0.000000000   9.490000000
     8.717   0.000000000   9.490000000
     8.710   0.000000000   9.490000000
     8.703   0.000000000   9.490000000
     8.696   0.000000000   9.490000000
     8.689   0.000000000   9.490000000
     8.682   0.000000000   9.490000000
     8.675   0.000000000   9.490000000
     8.667   0.000000000   9.490000000
     8.660   0.000000000   9.490000000
     8.653   0.000000000   9.490000000
     8.646   0.000000000   9.490000000
     8.639   0.000000000   9.490000000
     8.632   0.000000000   9.490000000
     8.625   0.000000000   9.490000000
     8.618   0.000000000   9.490000000
     8.611   0.000000000   9.490000000
     8.604   0.000000000   9.490000000
     8.597   0.000000000   9.490000000
     8.590   0.000000000   9.490000000
     8.583   0.000000000   9.490000000
     8.576   0.000000000   9.490000000
     8.569   0.000000000   9.490000000
     8.562   0.000000000   9.490000000
     8.556   0.000000000   9.490000000
     8.549   0.000000000   9.490000000
     8.542   0.000000000   9.490000000
     8.535   0.000000000   9.490000000
     8.528   0.000000000   9.490000000
