#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000043   19.443961719
     10.109   0.000000213   25.858653316
     10.102   0.000000734   25.009690944
     10.095   0.000002412   24.317349016
     10.089   0.000008668   24.308792490
     10.082   0.000025986   23.384560336
     10.075   0.000068740   22.318556148
     10.068   0.000176740   21.320764063
     10.061   0.000417891   20.046187274
     10.054   0.000910975   19.300890926
     10.047   0.001591497   17.647855202
     10.040   0.002597265   16.439240426
     10.033   0.003693084   15.075460396
     10.026   0.004818077   14.007082427
     10.019   0.006147177   13.237834537
     10.012   0.007728180   12.787573723
     10.005   0.009388213   12.245534890
     9.998   0.010949332   11.837032616
     9.991   0.012612816   11.506249393
     9.983   0.014133651   11.263594388
     9.976   0.015173505   11.021461432
     9.969   0.016236676   10.931747966
     9.962   0.017054372   10.937244042
     9.955   0.017485432   11.036756405
     9.948   0.017318232   11.000547602
     9.941   0.016754087   11.029147572
     9.934   0.016520979   11.245591850
     9.927   0.016717697   11.782595720
     9.920   0.016169142   12.255047295
     9.913   0.015940253   12.824742953
     9.906   0.015057773   13.335899894
     9.899   0.014208329   13.880989172
     9.892   0.013525435   14.619254216
     9.885   0.013005123   15.447327314
     9.878   0.012790470   16.391048121
     9.872   0.012383665   17.302420019
     9.865   0.011808278   18.227608962
     9.858   0.011092229   19.326946131
     9.851   0.010697231   20.466217393
     9.844   0.009956871   21.407180611
     9.837   0.010281236   23.343836801
     9.830   0.010436523   24.665299861
     9.823   0.010408514   26.093861379
     9.816   0.009783837   27.012873034
     9.809   0.010034601   28.912423659
     9.802   0.010069586   30.006061934
     9.795   0.010245747   31.483818020
     9.788   0.010262264   32.813288271
     9.781   0.009608842   33.630756661
     9.774   0.009579481   35.041983210
     9.767   0.009836534   36.565859773
