#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000000   9.490000000
     10.026   0.000000000   9.490000000
     10.019   0.000000000   9.490000000
     10.012   0.000000000   9.490000000
     10.005   0.000000000   9.490000000
     9.998   0.000000000   9.490000000
     9.991   0.000000000   9.490000000
     9.983   0.000000000   9.490000000
     9.976   0.000000000   9.490000000
     9.969   0.000000000   9.490000000
     9.962   0.000000000   9.490000000
     9.955   0.000000000   9.490000000
     9.948   0.000000000   9.490000000
     9.941   0.000000000   9.490000000
     9.934   0.000000000   9.490000000
     9.927   0.000000000   9.490000000
     9.920   0.000000000   9.490000000
     9.913   0.000000000   9.490000000
     9.906   0.000000000   9.490000000
     9.899   0.000000000   9.490000000
     9.892   0.000000035   9.490000000
     9.885   0.000000089   16.992022211
     9.878   0.000000205   17.744127035
     9.872   0.000000341   26.470597732
     9.865   0.000000711   26.951911423
     9.858   0.000001184   36.503566662
     9.851   0.000001918   36.929981434
     9.844   0.000003316   37.589627027
     9.837   0.000005501   38.351125113
     9.830   0.000008035   38.064354158
     9.823   0.000009979   37.601745134
     9.816   0.000016936   39.431284677
     9.809   0.000024870   39.933296648
     9.802   0.000034578   39.138609282
     9.795   0.000044606   39.931117499
     9.788   0.000055115   39.632468543
     9.781   0.000073624   40.056282160
     9.774   0.000096492   41.611667257
     9.767   0.000118097   41.581355617
