#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000000   9.490000000
     10.026   0.000000031   9.490000000
     10.019   0.000000139   13.522521840
     10.012   0.000000417   20.132629288
     10.005   0.000001286   27.369434974
     9.998   0.000003079   27.281083021
     9.991   0.000007442   26.769521355
     9.983   0.000017150   26.746745789
     9.976   0.000035841   25.764824386
     9.969   0.000072635   26.053503461
     9.962   0.000152377   25.523742806
     9.955   0.000264968   24.835277145
     9.948   0.000454352   24.358412702
     9.941   0.000782122   23.809729100
     9.934   0.001239973   23.299571694
     9.927   0.001637664   22.710359190
     9.920   0.002345270   22.290230845
     9.913   0.002897048   21.644449589
     9.906   0.003597014   21.320216547
     9.899   0.004285852   21.089317670
     9.892   0.005119433   21.100784579
     9.885   0.005802322   20.726547518
     9.878   0.006871435   20.912168111
     9.872   0.007497265   20.929845050
     9.865   0.007763363   20.431310986
     9.858   0.008399329   20.521092665
     9.851   0.008784950   20.473638870
     9.844   0.009393703   20.757110178
     9.837   0.009815147   21.129611923
     9.830   0.009820322   21.180640033
     9.823   0.009768052   21.605250367
     9.816   0.010527074   22.441283363
     9.809   0.011006572   23.223474273
     9.802   0.011614334   24.021159334
     9.795   0.011915772   24.445704184
     9.788   0.011672480   24.494100217
     9.781   0.011899272   25.260767870
     9.774   0.011443582   25.717705284
     9.767   0.010846266   26.057168725
