#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000000   9.490000000
     10.026   0.000000000   9.490000000
     10.019   0.000000000   9.490000000
     10.012   0.000000000   9.490000000
     10.005   0.000000000   9.490000000
     9.998   0.000000000   9.490000000
     9.991   0.000000000   9.490000000
     9.983   0.000000000   9.490000000
     9.976   0.000000000   9.490000000
     9.969   0.000000000   9.490000000
     9.962   0.000000000   9.490000000
     9.955   0.000000000   9.490000000
     9.948   0.000000000   9.490000000
     9.941   0.000000000   9.490000000
     9.934   0.000000000   9.490000000
     9.927   0.000000000   9.490000000
     9.920   0.000000041   9.490000000
     9.913   0.000000121   16.453905118
     9.906   0.000000256   16.337024135
     9.899   0.000000556   24.846372980
     9.892   0.000001040   33.770949813
     9.885   0.000001815   33.472235373
     9.878   0.000003239   34.165248508
     9.872   0.000005442   33.938769775
     9.865   0.000008946   35.041652154
     9.858   0.000014760   35.368582758
     9.851   0.000018059   35.019704228
     9.844   0.000028558   35.968645534
     9.837   0.000045831   36.869245378
     9.830   0.000065086   36.261710193
     9.823   0.000095448   36.486686440
     9.816   0.000134586   37.982048525
     9.809   0.000173285   37.534795410
     9.802   0.000221352   38.193284126
     9.795   0.000298241   38.920727093
     9.788   0.000344600   38.414080336
     9.781   0.000401974   38.702059101
     9.774   0.000447132   38.469712308
     9.767   0.000619805   39.286762330
