#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000000   9.490000000
     10.026   0.000000000   9.490000000
     10.019   0.000000000   9.490000000
     10.012   0.000000000   9.490000000
     10.005   0.000000000   9.490000000
     9.998   0.000000000   9.490000000
     9.991   0.000000000   9.490000000
     9.983   0.000000000   9.490000000
     9.976   0.000000000   9.490000000
     9.969   0.000000000   9.490000000
     9.962   0.000000000   9.490000000
     9.955   0.000000000   9.490000000
     9.948   0.000000026   9.490000000
     9.941   0.000000090   15.379326214
     9.934   0.000000219   15.369338144
     9.927   0.000000498   23.022841560
     9.920   0.000001007   31.845134799
     9.913   0.000002043   31.799820135
     9.906   0.000004653   32.694770198
     9.899   0.000007393   32.113071939
     9.892   0.000011899   32.244530303
     9.885   0.000022386   32.913325413
     9.878   0.000034963   32.853378798
     9.872   0.000053280   32.980722608
     9.865   0.000081099   32.939140510
     9.858   0.000113618   32.888572605
     9.851   0.000152280   32.353491406
     9.844   0.000209001   32.688360079
     9.837   0.000268917   32.962907426
     9.830   0.000368967   33.368294680
     9.823   0.000498719   34.474789572
     9.816   0.000595557   34.263801354
     9.809   0.000855265   35.698234569
     9.802   0.000958023   35.485234548
     9.795   0.001173220   35.990822653
     9.788   0.001482824   36.305529648
     9.781   0.001685994   36.727327824
     9.774   0.001746276   35.611697967
     9.767   0.001969905   36.127428757
