#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000073   13.569067960
     10.047   0.000000278   20.056711946
     10.040   0.000000918   26.704601623
     10.033   0.000002560   26.798425097
     10.026   0.000006568   26.150381018
     10.019   0.000015514   25.434354029
     10.012   0.000037612   25.756618925
     10.005   0.000078444   24.330520318
     9.998   0.000192530   24.255810786
     9.991   0.000353691   23.251302991
     9.983   0.000630284   22.353495297
     9.976   0.001099900   21.549381927
     9.969   0.001721981   20.824434614
     9.962   0.002486146   19.678416720
     9.955   0.003341222   18.696886400
     9.948   0.004199236   17.854967155
     9.941   0.005259433   17.360785932
     9.934   0.006324563   16.828009393
     9.927   0.006693295   15.898247511
     9.920   0.007880670   15.851648641
     9.913   0.008381266   15.339741367
     9.906   0.009882815   15.537969375
     9.899   0.010513103   15.464243916
     9.892   0.011524187   15.505942429
     9.885   0.011847183   15.511344827
     9.878   0.012615317   15.737221474
     9.872   0.012915783   15.913827156
     9.865   0.013078110   16.249465261
     9.858   0.012704062   16.332563973
     9.851   0.013052741   16.733389202
     9.844   0.012970264   17.305659640
     9.837   0.012838582   17.902497348
     9.830   0.012734185   18.658971385
     9.823   0.012575706   19.280800188
     9.816   0.012137280   19.887567760
     9.809   0.011601888   20.582036086
     9.802   0.011076614   21.209161787
     9.795   0.011557903   22.147945856
     9.788   0.011601075   22.986267140
     9.781   0.010802265   23.321154003
     9.774   0.010345813   24.229497285
     9.767   0.009734108   24.905251848
