#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000020   12.720973245
     10.089   0.000000114   25.810797524
     10.082   0.000000389   25.499051844
     10.075   0.000001398   25.786881451
     10.068   0.000004021   24.854030926
     10.061   0.000012629   25.121682484
     10.054   0.000031935   23.840997528
     10.047   0.000089025   23.408632842
     10.040   0.000210826   22.682132112
     10.033   0.000437136   21.592768462
     10.026   0.000818055   20.473811674
     10.019   0.001570647   19.520877686
     10.012   0.002384117   18.419330445
     10.005   0.003253574   16.925494492
     9.998   0.004753542   16.324265744
     9.991   0.005882900   15.218944100
     9.983   0.006744452   14.114419173
     9.976   0.008343213   13.813086298
     9.969   0.009095151   12.727669855
     9.962   0.010652453   12.567990780
     9.955   0.011954699   12.311036699
     9.948   0.013132381   11.995442037
     9.941   0.013618719   11.644424376
     9.934   0.014738898   11.439826267
     9.927   0.015742793   11.527588867
     9.920   0.015948419   11.578110389
     9.913   0.016109583   11.709038517
     9.906   0.015768779   11.794028978
     9.899   0.015852767   12.080914530
     9.892   0.015698337   12.374486687
     9.885   0.015141518   12.752437215
     9.878   0.014688832   13.300138562
     9.872   0.013963383   13.792596292
     9.865   0.013762949   14.480066966
     9.858   0.013274886   15.133387024
     9.851   0.012337945   15.726753190
     9.844   0.011900065   16.640648028
     9.837   0.010863563   17.226397176
     9.830   0.010535447   18.258044292
     9.823   0.010413823   19.403638362
     9.816   0.010190308   20.432042220
     9.809   0.009858801   21.449963242
     9.802   0.009674071   22.550539143
     9.795   0.008994131   23.300046450
     9.788   0.008925764   24.819048122
     9.781   0.008983272   26.320893085
     9.774   0.009148137   27.601579859
     9.767   0.008726861   28.424312404
