#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000022   9.490000000
     10.026   0.000000044   9.490000000
     10.019   0.000000070   9.490000000
     10.012   0.000000121   9.490000000
     10.005   0.000000183   18.132037439
     9.998   0.000000203   18.555894712
     9.991   0.000000338   19.536895707
     9.983   0.000000393   19.413932023
     9.976   0.000000463   19.805180273
     9.969   0.000000511   20.057043002
     9.962   0.000000657   21.126263164
     9.955   0.000000725   21.404863219
     9.948   0.000000759   21.618117898
     9.941   0.000000833   22.179434382
     9.934   0.000000836   22.103064111
     9.927   0.000000855   22.507221729
     9.920   0.000000860   22.864553102
     9.913   0.000000868   23.343034627
     9.906   0.000000850   24.056420443
     9.899   0.000000805   24.346998543
     9.892   0.000000847   25.157674827
     9.885   0.000000866   25.412897230
     9.878   0.000000895   25.784367608
     9.872   0.000000843   25.973427910
     9.865   0.000000767   26.142348361
     9.858   0.000000639   25.815148547
     9.851   0.000000587   26.421010261
     9.844   0.000000530   26.721118047
     9.837   0.000000509   27.409148970
     9.830   0.000000356   27.459132980
     9.823   0.000000331   13.757859051
     9.816   0.000000343   14.736332560
     9.809   0.000000312   15.313402400
     9.802   0.000000249   15.421066564
     9.795   0.000000224   15.727346181
     9.788   0.000000210   16.001269614
     9.781   0.000000003   16.005793441
     9.774   0.000000000   9.490000000
     9.767   0.000000000   9.490000000
