#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000023   9.490000000
     10.061   0.000000054   9.490000000
     10.054   0.000000144   15.560122847
     10.047   0.000000281   23.919303203
     10.040   0.000000526   24.581055186
     10.033   0.000000939   33.797114156
     10.026   0.000001457   34.847646020
     10.019   0.000001971   34.922879422
     10.012   0.000002618   35.255106923
     10.005   0.000003011   35.271950765
     9.998   0.000003509   35.487813875
     9.991   0.000004940   38.338268496
     9.983   0.000005757   38.367594243
     9.976   0.000006401   38.569523895
     9.969   0.000007765   39.509577618
     9.962   0.000007425   39.743586967
     9.955   0.000007495   40.637383790
     9.948   0.000007865   41.176255763
     9.941   0.000009524   43.653100875
     9.934   0.000009545   43.679308874
     9.927   0.000009632   43.931086111
     9.920   0.000009200   44.281325245
     9.913   0.000010940   46.785840823
     9.906   0.000011211   47.212073696
     9.899   0.000011090   47.089004511
     9.892   0.000010099   47.559165978
     9.885   0.000009810   48.098616389
     9.878   0.000010385   50.629223551
     9.872   0.000009807   50.988513976
     9.865   0.000010033   52.882882301
     9.858   0.000008421   51.727227401
     9.851   0.000007389   51.941697166
     9.844   0.000006836   52.720188251
     9.837   0.000006078   53.005300288
     9.830   0.000006295   55.294345657
     9.823   0.000007403   56.021002820
     9.816   0.000008017   58.487497881
     9.809   0.000007748   59.489437263
     9.802   0.000006240   58.807330788
     9.795   0.000005820   60.537888203
     9.788   0.000004580   61.393024225
     9.781   0.000003596   61.709884903
     9.774   0.000002731   44.854208681
     9.767   0.000002382   45.601809688
