#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000030   25.399454898
     10.123   0.000000149   25.799046853
     10.116   0.000000527   25.014855055
     10.109   0.000001701   24.183884307
     10.102   0.000006542   24.592041882
     10.095   0.000017184   22.962454750
     10.089   0.000048239   22.044039724
     10.082   0.000125443   21.114565243
     10.075   0.000283587   19.929982955
     10.068   0.000538383   18.409729819
     10.061   0.001013992   17.392603695
     10.054   0.001730593   16.835972929
     10.047   0.002344078   15.448385966
     10.040   0.003149526   14.610201106
     10.033   0.003933186   13.933566152
     10.026   0.004997609   13.709883206
     10.019   0.005846457   13.417193259
     10.012   0.006783454   13.463859432
     10.005   0.007546792   13.541754015
     9.998   0.008519492   13.847708942
     9.991   0.009486109   14.286799342
     9.983   0.009925326   14.470037968
     9.976   0.010251999   14.931031728
     9.969   0.011156701   15.625746528
     9.962   0.011275341   16.272420908
     9.955   0.010600640   16.446691006
     9.948   0.011027562   17.360787751
     9.941   0.011191460   18.340100723
     9.934   0.010646588   19.105038518
     9.927   0.010701980   20.357349058
     9.920   0.010697917   21.461681172
     9.913   0.010572330   22.683849238
     9.906   0.011290896   24.249115086
     9.899   0.011348452   25.850324164
     9.892   0.009566160   25.972833100
     9.885   0.010529220   28.281217965
     9.878   0.011425124   30.328659705
     9.872   0.011424583   31.629824662
     9.865   0.011845735   33.398137020
     9.858   0.010827902   33.845699363
     9.851   0.009942602   34.303957364
     9.844   0.009768774   36.013618228
     9.837   0.009655268   37.903519114
     9.830   0.009325378   39.225091314
     9.823   0.009835734   41.159302782
     9.816   0.009403728   41.555016651
     9.809   0.009410403   43.304746214
     9.802   0.009170768   44.288062782
     9.795   0.009222952   45.139535359
     9.788   0.009006509   46.029439545
     9.781   0.008727337   47.861802159
     9.774   0.008406057   48.589427024
     9.767   0.008377337   49.389142077
