#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000000   9.490000000
     10.026   0.000000000   9.490000000
     10.019   0.000000000   9.490000000
     10.012   0.000000000   9.490000000
     10.005   0.000000057   13.520642824
     9.998   0.000000239   21.127030777
     9.991   0.000000662   28.101345379
     9.983   0.000001621   27.827609301
     9.976   0.000003658   27.684607630
     9.969   0.000010418   28.435022614
     9.962   0.000019068   27.317015338
     9.955   0.000037949   26.837236874
     9.948   0.000077532   27.101717933
     9.941   0.000142026   26.732814149
     9.934   0.000255001   26.778358006
     9.927   0.000429134   26.519375751
     9.920   0.000673573   26.155654268
     9.913   0.000919011   25.301662390
     9.906   0.001324899   25.206976716
     9.899   0.001701560   24.338885851
     9.892   0.002333321   24.563125407
     9.885   0.002948450   24.282606319
     9.878   0.003467767   23.755339498
     9.872   0.003938232   23.393316951
     9.865   0.004657381   23.637025151
     9.858   0.005253244   23.470744054
     9.851   0.005899368   23.492882974
     9.844   0.006252061   23.506121579
     9.837   0.006350795   22.924134100
     9.830   0.006985526   23.558299290
     9.823   0.007166058   23.738148229
     9.816   0.007557243   24.077231501
     9.809   0.008383191   24.800963729
     9.802   0.008990170   25.469422326
     9.795   0.009476394   25.916937375
     9.788   0.009610385   25.960698622
     9.781   0.010158298   26.546702429
     9.774   0.010144945   26.889078072
     9.767   0.009689105   27.381884138
