#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000000   9.490000000
     10.102   0.000000000   9.490000000
     10.095   0.000000000   9.490000000
     10.089   0.000000000   9.490000000
     10.082   0.000000000   9.490000000
     10.075   0.000000000   9.490000000
     10.068   0.000000000   9.490000000
     10.061   0.000000000   9.490000000
     10.054   0.000000000   9.490000000
     10.047   0.000000000   9.490000000
     10.040   0.000000000   9.490000000
     10.033   0.000000000   9.490000000
     10.026   0.000000000   9.490000000
     10.019   0.000000000   9.490000000
     10.012   0.000000000   9.490000000
     10.005   0.000000000   9.490000000
     9.998   0.000000000   9.490000000
     9.991   0.000000000   9.490000000
     9.983   0.000000000   9.490000000
     9.976   0.000000000   9.490000000
     9.969   0.000000028   9.490000000
     9.962   0.000000116   15.061857994
     9.955   0.000000325   22.701900889
     9.948   0.000000759   30.091974622
     9.941   0.000001606   30.187275115
     9.934   0.000003742   30.792245525
     9.927   0.000007076   30.349987355
     9.920   0.000013570   30.212620914
     9.913   0.000026419   31.048686651
     9.906   0.000044527   31.577183108
     9.899   0.000073474   30.478990084
     9.892   0.000108745   30.192299164
     9.885   0.000160792   30.498165870
     9.878   0.000212552   30.052207876
     9.872   0.000329942   30.284802051
     9.865   0.000485404   30.969964428
     9.858   0.000630690   30.328332286
     9.851   0.000821191   30.295395845
     9.844   0.001063240   30.296621844
     9.837   0.001214997   29.981660191
     9.830   0.001543742   30.651124689
     9.823   0.001832521   30.873961805
     9.816   0.002227412   31.082185160
     9.809   0.002598083   31.444200431
     9.802   0.002562028   30.077639167
     9.795   0.003034796   31.128711271
     9.788   0.003604509   31.919385947
     9.781   0.004033534   32.244701288
     9.774   0.004185572   31.780979043
     9.767   0.004267971   31.571398722
